Year,Smoke_estimate,Mean_GIS_Acres,Mean_Distance
1961,3.5849344122634283,55249.74014119425,490.7208666352415
1964,0.1911968909994983,2429.4038408197225,445.5736057984701
1967,0.0004915220205945012,39.81753909499415,1125.0601209801935
1970,0.02728788900609173,1420.9218356339352,902.0074761962518
1971,0.0005943779309095349,37.994201935610576,999.3953822049651
1973,0.016947677420790563,332.5135455197672,553.6809601077767
1974,5.2490690540590144e-05,3.0079579353169827,946.2475089840691
1976,0.00013567748796800678,7.9088687736898615,954.3623563004729
1978,0.0004172249306914747,24.902686285631027,965.7127964490662
1979,5.1981597678529934e-05,1.9241530675301468,760.5101417327213
1980,0.0006501080957374142,4.977887923543352,345.8914150138659
1981,0.015060697140829568,210.31839454479112,467.1174638866249
1982,0.006875339499584769,104.29319390177669,486.84523388960184
1983,0.008655517960714744,132.0380003336398,488.2170602182437
1984,0.013906720279085795,314.9992630726455,594.9115795351945
1985,0.5861091993509797,10284.5625527842,431.27009214452306
1986,0.04866500917175463,1024.039858374395,751.0962270967132
1987,0.011976599597579622,184.34505104999982,422.96869795117607
1988,0.0016365781555868258,129.76453205429326,1889.431148599944
1989,0.002008358540158566,95.7952907673691,863.2994601041174
1990,1.067528553059803,5491.213801424473,639.501178140488
1991,0.001418529673530681,27.640945394047993,551.7816416963236
1992,0.013467479429482622,309.75882020738686,638.8427050039194
1993,1.2303048967383976e-05,3.565679826294781,2128.0156065702377
1994,0.036581502972016344,245.01029805865417,541.1724764382702
1995,0.009165572369997963,188.33883647447152,566.6307760042525
1996,0.12803156144926334,6690.053541664657,1511.753549243593
1997,0.0014669947353479025,32.9222730693197,592.1621461687246
1998,0.002182736648538919,189.0107345279323,1912.8408319628916
1999,0.0018313390999939866,257.45673923987886,1309.3856950714905
2000,0.12426045266825186,2581.965475247182,739.8782021275084
2001,0.007385976356648998,368.3340144136476,1240.8802333429737
2002,0.023692580143979385,64.31949250059765,205.95632713074957
2003,0.8904326073234831,9138.001120046732,605.227165668001
2004,0.0027831801786178762,80.92746038194257,674.0425416385935
2005,0.7533005804115617,36044.609576990115,936.960738493866
2006,0.044162551414451155,1285.1335715617063,811.8280564404331
2007,1.1980935388558733,60193.790820949514,1972.6022484488892
2008,0.005725728059244733,132.3023428983599,494.6460362169556
2009,0.0027765020469718432,371.7952181775842,1151.682252189287
2010,0.03614369216217218,429.272878294526,555.6385781519266
2011,0.02703411385367552,3321.2580152689347,1012.9238988152482
2012,3.4043301962566535,4312.440436218688,969.0092299204186
2013,0.021752120813203348,330.2450867393049,711.6750428107529
2014,0.0006773690181609763,20.994170792639476,512.7586620414653
2015,0.0032290541219193673,78.66105123089066,494.87762644065015
2016,0.00211386622043783,98.58215423313487,858.2669596007369
2017,0.017676535566240183,750.3967732160784,807.0064696871411
2018,0.05392899376356324,7222.898540492365,790.263593665614
2019,0.0006046346246519398,175.9121313242548,1490.2654851964764
2020,0.01230259470029888,237.03608758882868,585.8135662942947
